edge_id,source_node_id,target_node_id,asset_id,asset_key,asset_type,subtype,start_date,end_date,is_active_at_end,player_name,contract_expiry_year,average_annual_salary,acquisition_method,original_team,pick_year,pick_number,protections_raw,protections_structured,swap_conditions_raw,swap_conditions_structured,prior_transactions
edg_ast_mem_pick_2024_2_mem_or_tor_6eca2db13f_state__97f9130bc9,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2024_2_mem_or_tor_6eca2db13f,pick_2024_2_mem_or_tor,future_draft_pick,second_round,2022-05-14,,true,,,,owned_pick_start_state,MEM/TOR,2024,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2024_2_mem_rights_57_fdc20cc680_sta_056a50aec1,state_start_mem_20220514,evt_mem_evt_20240627_draft_chomche_2024_06_27_draft__fa686be565,ast_mem_pick_2024_2_mem_rights_57_fdc20cc680,pick_2024_2_mem_rights_57,future_draft_pick,second_round,2022-05-14,2024-06-27,false,,,,,MEM,2024,57,,,,,"[""2022-05-14|bootstrap_from_event|held""]"
edg_ast_mem_pick_2024_2_more_favorable_7a9de2aa33_ev_61b15f6f0e,evt_mem_evt_20240201_trade_adams_2024_02_01_trade_96294bd6ef,state_end_mem_20260226,ast_mem_pick_2024_2_more_favorable_7a9de2aa33,pick_2024_2_more_favorable,future_draft_pick,second_round,2024-02-01,,true,,,,trade,HOU/OKC,2024,,More favorable 2024 second-round pick,,,,"[""2024-02-01|trade|acquire""]"
edg_ast_mem_pick_2024_2_okc_6dc87e8084_evt_mem_evt_2_4133fd9d0d,evt_mem_evt_20240201_trade_adams_2024_02_01_trade_96294bd6ef,state_end_mem_20260226,ast_mem_pick_2024_2_okc_6dc87e8084,pick_2024_2_okc,future_draft_pick,second_round,2024-02-01,,true,,,,trade,OKC,2024,,,,,,"[""2024-02-01|trade|acquire""]"
edg_ast_mem_pick_2024_2_tor_f5a41c1948_state_start_m_8fb041e778,state_start_mem_20220514,evt_mem_evt_20230209_trade_kennard_2023_02_09_trade_bc5e54ca9a,ast_mem_pick_2024_2_tor_f5a41c1948,pick_2024_2_tor,future_draft_pick,second_round,2022-05-14,2023-02-09,false,,,,,TOR,2024,,,,,,"[""2022-05-14|bootstrap_from_event|held""]"
edg_ast_mem_pick_2025_1_mem_315ae36b9d_state_start_m_4f29e7c7c5,state_start_mem_20220514,evt_mem_evt_20250206_trade_deadline_2025_02_06_trade_fe97bce1ad,ast_mem_pick_2025_1_mem_315ae36b9d,pick_2025_1_mem,future_draft_pick,first_round,2022-05-14,2025-02-06,false,,,,owned_pick_start_state,MEM,2025,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2025_1_orl_in_6a6812e837_evt_mem_ev_ba35602bf2,evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,state_end_mem_20260226,ast_mem_pick_2025_1_orl_in_6a6812e837,pick_2025_1_orl_in,future_draft_pick,first_round,2025-06-15,,true,,,,trade,ORL,2025,,,,,,"[""2025-06-15|trade|acquire""]"
edg_ast_mem_pick_2025_2_hou_okc_more_favorable_12863_32b847aca9,evt_mem_evt_20240201_trade_adams_2024_02_01_trade_96294bd6ef,state_end_mem_20260226,ast_mem_pick_2025_2_hou_okc_more_favorable_12863dcf82,pick_2025_2_hou_okc_more_favorable,future_draft_pick,second_round,2024-02-01,,true,,,,trade,HOU/OKC,2025,,More favorable of HOU/OKC 2025 second,,,,"[""2024-02-01|trade|acquire""]"
edg_ast_mem_pick_2025_2_mem_fbccdef9de_state_start_m_6bc92b1750,state_start_mem_20220514,evt_mem_evt_20250626_draft_javon_small_2025_06_26_dr_4b013e5ff9,ast_mem_pick_2025_2_mem_fbccdef9de,pick_2025_2_mem,future_draft_pick,second_round,2022-05-14,2025-06-26,false,,,,owned_pick_start_state,MEM,2025,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2025_2_mem_rights_56_5de8b783cd_sta_3244003c57,state_start_mem_20220514,evt_mem_evt_20250626_draft_will_richard_2025_06_26_d_a840549dd2,ast_mem_pick_2025_2_mem_rights_56_5de8b783cd,pick_2025_2_mem_rights_56,future_draft_pick,second_round,2022-05-14,2025-06-26,false,,,,,MEM,2025,56,,,,,"[""2022-05-14|bootstrap_from_event|held""]"
