event_id,event_key,asset_id,asset_key,action,direction
evt_mem_evt_20240130_sign_tosan_evbuomwan_2024_01_30_ed3f493491,evt_20240130_sign_tosan_evbuomwan,ast_mem_player_tosan_evbuomwan_b5b85d8d1c,player_tosan_evbuomwan,acquire,outgoing
evt_mem_evt_20240130_sign_trey_jemison_2024_01_30_co_e71f70d7f5,evt_20240130_sign_trey_jemison,ast_mem_player_trey_jemison_3741b6bdcc,player_trey_jemison,acquire,outgoing
evt_mem_evt_20240201_trade_adams_2024_02_01_trade_96294bd6ef,evt_20240201_trade_adams,ast_mem_pick_2024_2_more_favorable_7a9de2aa33,pick_2024_2_more_favorable,acquire,outgoing
evt_mem_evt_20240201_trade_adams_2024_02_01_trade_96294bd6ef,evt_20240201_trade_adams,ast_mem_pick_2024_2_okc_6dc87e8084,pick_2024_2_okc,acquire,outgoing
evt_mem_evt_20240201_trade_adams_2024_02_01_trade_96294bd6ef,evt_20240201_trade_adams,ast_mem_pick_2025_2_hou_okc_more_favorable_12863dcf82,pick_2025_2_hou_okc_more_favorable,acquire,outgoing
evt_mem_evt_20240201_trade_adams_2024_02_01_trade_96294bd6ef,evt_20240201_trade_adams,ast_mem_player_steven_adams_ab4485159b,player_steven_adams,relinquish,incoming
evt_mem_evt_20240201_trade_adams_2024_02_01_trade_96294bd6ef,evt_20240201_trade_adams,ast_mem_player_victor_oladipo_558a3a1190,player_victor_oladipo,acquire,outgoing
evt_mem_evt_20240207_trade_tillman_2024_02_07_trade_939df12fd4,evt_20240207_trade_tillman,ast_mem_pick_2027_2_atl_in_4d674f63b9,pick_2027_2_atl_in,acquire,outgoing
evt_mem_evt_20240207_trade_tillman_2024_02_07_trade_939df12fd4,evt_20240207_trade_tillman,ast_mem_pick_2030_2_dal_in_e5ead89f5c,pick_2030_2_dal_in,acquire,outgoing
evt_mem_evt_20240207_trade_tillman_2024_02_07_trade_939df12fd4,evt_20240207_trade_tillman,ast_mem_player_lamar_stevens_f88b3642ae,player_lamar_stevens,acquire,outgoing
evt_mem_evt_20240207_trade_tillman_2024_02_07_trade_939df12fd4,evt_20240207_trade_tillman,ast_mem_player_xavier_tillman_062056db33,player_xavier_tillman,relinquish,incoming
evt_mem_evt_20240208_waive_oladipo_2024_02_08_waiver_488d2e7fa6,evt_20240208_waive_oladipo,ast_mem_player_victor_oladipo_558a3a1190,player_victor_oladipo,terminate,incoming
evt_mem_evt_20240209_conv_gg_2024_02_09_conversion_c3f2b10c89,evt_20240209_conv_gg,ast_mem_player_gg_jackson_c995d2aa42,player_gg_jackson,modify,outgoing
evt_mem_evt_20240209_sign_jemison_two_way_2024_02_09_91c77f2df8,evt_20240209_sign_jemison_two_way,ast_mem_player_trey_jemison_3741b6bdcc,player_trey_jemison,modify,outgoing
evt_mem_evt_20240209_sign_trey_jemison_update_2024_0_150a18e22f,evt_20240209_sign_trey_jemison_update,ast_mem_player_trey_jemison_3741b6bdcc,player_trey_jemison,modify,outgoing
evt_mem_evt_20240224_sign_goodwin_two_way_2024_02_24_72bf1b3644,evt_20240224_sign_goodwin_two_way,ast_mem_player_jacob_gilyard_26e10dd365,player_jacob_gilyard,terminate,incoming
evt_mem_evt_20240224_sign_goodwin_two_way_2024_02_24_72bf1b3644,evt_20240224_sign_goodwin_two_way,ast_mem_player_jordan_goodwin_082edf470d,player_jordan_goodwin,acquire,outgoing
evt_mem_evt_20240226_sign_matthew_hurt_2024_02_26_co_ceb1d7d934,evt_20240226_sign_matthew_hurt,ast_mem_player_matthew_hurt_ef714b6be1,player_matthew_hurt,modify,outgoing
evt_mem_evt_20240308_sign_wenyen_gabriel_2024_03_08__6473f1cba6,evt_20240308_sign_wenyen_gabriel,ast_mem_player_wenyen_gabriel_f105ab2923,player_wenyen_gabriel,acquire,outgoing
evt_mem_evt_20240310_sign_dejon_jarreau_2024_03_10_c_088166e60a,evt_20240310_sign_dejon_jarreau,ast_mem_player_dejon_jarreau_724485086d,player_dejon_jarreau,acquire,outgoing
evt_mem_evt_20240320_sign_dejon_jarreau_again_2024_0_16c4d2b542,evt_20240320_sign_dejon_jarreau_again,ast_mem_player_dejon_jarreau_724485086d,player_dejon_jarreau,modify,outgoing
evt_mem_evt_20240320_sign_maozinha_2024_03_20_contra_9b0860008c,evt_20240320_sign_maozinha,ast_mem_player_maozinha_pereira_179cc5f592,player_maozinha_pereira,acquire,outgoing
evt_mem_evt_20240330_sign_zavier_simpson_2024_03_30__c446ac980c,evt_20240330_sign_zavier_simpson,ast_mem_player_zavier_simpson_8b1c92b9b7,player_zavier_simpson,acquire,outgoing
evt_mem_evt_20240409_sign_jack_white_2024_04_09_cont_b45abe732b,evt_20240409_sign_jack_white,ast_mem_player_jack_white_54aef2934d,player_jack_white,acquire,outgoing
evt_mem_evt_20240409_sign_zavier_simpson_again_2024__a7cc2fbaac,evt_20240409_sign_zavier_simpson_again,ast_mem_player_zavier_simpson_8b1c92b9b7,player_zavier_simpson,modify,outgoing
evt_mem_evt_20240626_draft_edey_2024_06_26_draft_pic_5c4c0d649d,evt_20240626_draft_edey,ast_mem_pick_2024_1_mem_8adc419e28,pick_2024_1_mem,relinquish,incoming
evt_mem_evt_20240626_draft_edey_2024_06_26_draft_pic_5c4c0d649d,evt_20240626_draft_edey,ast_mem_player_zach_edey_eb47a26f7c,player_zach_edey,acquire,outgoing
evt_mem_evt_20240627_draft_chomche_2024_06_27_draft__fa686be565,evt_20240627_draft_chomche,ast_mem_pick_2024_2_mem_rights_57_fdc20cc680,pick_2024_2_mem_rights_57,relinquish,incoming
evt_mem_evt_20240627_draft_chomche_2024_06_27_draft__fa686be565,evt_20240627_draft_chomche,ast_mem_player_ulrich_chomche_d3e56efbd5,player_ulrich_chomche,acquire,outgoing
evt_mem_evt_20240627_draft_wells_2024_06_27_draft_pi_4ec19121bf,evt_20240627_draft_wells,ast_mem_pick_2024_2_mem_ab4554b495,pick_2024_2_mem,relinquish,incoming
evt_mem_evt_20240627_draft_wells_2024_06_27_draft_pi_4ec19121bf,evt_20240627_draft_wells,ast_mem_player_jaylen_wells_27e5e3ac1e,player_jaylen_wells,acquire,outgoing
evt_mem_evt_20240706_sign_jaylen_wells_2024_07_06_co_4f710b6071,evt_20240706_sign_jaylen_wells,ast_mem_player_jaylen_wells_27e5e3ac1e,player_jaylen_wells,modify,outgoing
evt_mem_evt_20240706_sign_zach_edey_2024_07_06_contr_2bc4a9afec,evt_20240706_sign_zach_edey,ast_mem_player_zach_edey_eb47a26f7c,player_zach_edey,modify,outgoing
evt_mem_evt_20240706_trade_cam_spencer_2024_07_06_tr_bdb3fc634d,evt_20240706_trade_cam_spencer,ast_mem_pick_2030_2_mem_conditional_d3231eaa45,pick_2030_2_mem_conditional,relinquish,incoming
evt_mem_evt_20240706_trade_cam_spencer_2024_07_06_tr_bdb3fc634d,evt_20240706_trade_cam_spencer,ast_mem_player_cam_spencer_4fabe1c483,player_cam_spencer,acquire,outgoing
evt_mem_evt_20240706_trade_cam_spencer_2024_07_06_tr_bdb3fc634d,evt_20240706_trade_cam_spencer,ast_mem_player_ulrich_chomche_d3e56efbd5,player_ulrich_chomche,relinquish,incoming
evt_mem_evt_20240708_sign_cam_two_way_2024_07_08_con_f778add05a,evt_20240708_sign_cam_two_way,ast_mem_player_cam_spencer_4fabe1c483,player_cam_spencer,modify,outgoing
evt_mem_evt_20240719_trade_ziaire_2024_07_19_trade_fa0304be75,evt_20240719_trade_ziaire,ast_mem_pick_2030_2_dal_in_e5ead89f5c,pick_2030_2_dal_in,relinquish,incoming
evt_mem_evt_20240719_trade_ziaire_2024_07_19_trade_fa0304be75,evt_20240719_trade_ziaire,ast_mem_player_mamadi_diakite_2ec14923f8,player_mamadi_diakite,acquire,outgoing
evt_mem_evt_20240719_trade_ziaire_2024_07_19_trade_fa0304be75,evt_20240719_trade_ziaire,ast_mem_player_nemanja_dangubic_10fb99253a,player_nemanja_dangubic,acquire,outgoing
evt_mem_evt_20240719_trade_ziaire_2024_07_19_trade_fa0304be75,evt_20240719_trade_ziaire,ast_mem_player_ziaire_williams_e48711763e,player_ziaire_williams,relinquish,incoming
evt_mem_evt_20240724_end_trey_jemison_two_way_2024_0_2f7544262f,evt_20240724_end_trey_jemison_two_way,ast_mem_player_trey_jemison_3741b6bdcc,player_trey_jemison,terminate,incoming
