event_key,action,asset_key,asset_type,subtype,player_name,contract_expiry_year,average_annual_salary,acquisition_method,original_team,pick_year,pick_number,protections_raw,protections_structured,swap_conditions_raw,swap_conditions_structured,prior_transactions
evt_20230622_draft_tarik,relinquish,pick_2023_2_mem_rights_56,future_draft_pick,second_round,,,,,MEM,2023,56,,,,,
evt_20230623_trade_smart,acquire,player_marcus_smart,full_roster,player_contract,Marcus Smart,,,trade,,,,,,,,
evt_20230623_trade_smart,relinquish,pick_2024_1_gsw,future_draft_pick,first_round,,,,,GSW,2024,,,,,,
evt_20230623_trade_smart,relinquish,player_marcus_sasser,full_roster,draft_rights,Marcus Sasser,,,,,,,,,,,
evt_20230623_trade_smart,relinquish,player_tyus_jones,full_roster,player_contract,Tyus Jones,,,,,,,,,,,
evt_20230703_sign_rose,acquire,player_derrick_rose,full_roster,player_contract,Derrick Rose,,3.4,contract_signing,,,,,,,,
evt_20230708_ext_bane,modify,player_desmond_bane,full_roster,player_contract,Desmond Bane,2029,39.0,rookie_scale_extension,,,,,,,,
evt_20230708_trade_brooks,acquire,player_josh_christopher,full_roster,player_contract,Josh Christopher,,,trade,,,,,,,,
evt_20230708_trade_brooks,acquire,player_vanja_marinkovic,full_roster,draft_rights,Vanja Marinkovic,,,trade,,,,,,,,
evt_20230708_trade_brooks,relinquish,player_dillon_brooks,full_roster,player_contract,Dillon Brooks,,,,,,,,,,,
evt_20230711_trade_swap_phx,acquire,pick_2024_1_swap_rights_phx,future_draft_pick,first_round,,,,trade,MEM/PHX,2024,,,,Right to swap 2024 first-round pick (did not convey),,
evt_20230711_trade_swap_phx,acquire,pick_2030_1_swap_rights_phx,future_draft_pick,first_round,,,,trade,MEM/PHX,2030,,,,Right to swap 2030 first-round pick,,
evt_20230711_trade_swap_phx,acquire,player_isaiah_todd,full_roster,player_contract,Isaiah Todd,,,trade,,,,,,,,
evt_20230711_trade_swap_phx,relinquish,pick_2025_2_nop_in,future_draft_pick,second_round,,,,,NOP,2025,,,,,,
evt_20230711_trade_swap_phx,relinquish,pick_2028_2_mem_in,future_draft_pick,second_round,,,,,MEM,2028,,,,,,
evt_20230711_trade_swap_phx,relinquish,pick_2029_2_mem_in,future_draft_pick,second_round,,,,,MEM,2029,,,,,,
evt_20230831_sign_gg_two_way,modify,player_gg_jackson,two_way,two_way_contract,GG Jackson,,,two_way_signing,,,,,,,,
evt_20230831_sign_shaq_harrison,acquire,player_shaquille_harrison,full_roster,player_contract,Shaquille Harrison,,,contract_signing,,,,,,,,
evt_20230930_sign_mychal_mulder,acquire,player_mychal_mulder,full_roster,player_contract,Mychal Mulder,,,contract_signing,,,,,,,,
evt_20230930_waive_christopher,terminate,player_josh_christopher,full_roster,player_contract,Josh Christopher,,,waiver,,,,,,,,
evt_20230930_waive_todd,terminate,player_isaiah_todd,full_roster,player_contract,Isaiah Todd,,,waiver,,,,,,,,
evt_20231016_waive_matthew_hurt,terminate,player_matthew_hurt,full_roster,player_contract,Matthew Hurt,,,waiver,,,,,,,,
evt_20231016_waive_mychal_mulder,terminate,player_mychal_mulder,full_roster,player_contract,Mychal Mulder,,,waiver,,,,,,,,
evt_20231101_sign_biyombo,acquire,player_bismack_biyombo,full_roster,player_contract,Bismack Biyombo,,,contract_signing,,,,,,,,
evt_20231124_sign_jaylen_nowell,acquire,player_jaylen_nowell,full_roster,player_contract,Jaylen Nowell,,,contract_signing,,,,,,,,
evt_20231218_waive_lofton,terminate,player_kenny_lofton_jr,full_roster,player_contract,Kenny Lofton Jr.,,,waiver,,,,,,,,
evt_20240110_conv_vince,modify,player_vince_williams_jr,full_roster,player_contract,Vince Williams Jr.,,,conversion,,,,,,,,
evt_20240110_waive_biyombo,terminate,player_bismack_biyombo,full_roster,player_contract,Bismack Biyombo,,,waiver,,,,,,,,
evt_20240116_sign_scotty_two_way,acquire,player_scotty_pippen_jr,two_way,two_way_contract,Scotty Pippen Jr.,,,two_way_signing,,,,,,,,
evt_20240129_sign_matthew_hurt,acquire,player_matthew_hurt,full_roster,player_contract,Matthew Hurt,,,contract_signing,,,,,,,,
evt_20240130_sign_tosan_evbuomwan,acquire,player_tosan_evbuomwan,full_roster,player_contract,Tosan Evbuomwan,,,contract_signing,,,,,,,,
evt_20240130_sign_trey_jemison,acquire,player_trey_jemison,full_roster,player_contract,Trey Jemison,,,contract_signing,,,,,,,,
evt_20240201_trade_adams,acquire,pick_2024_2_more_favorable,future_draft_pick,second_round,,,,trade,HOU/OKC,2024,,More favorable 2024 second-round pick,,,,
evt_20240201_trade_adams,acquire,pick_2024_2_okc,future_draft_pick,second_round,,,,trade,OKC,2024,,,,,,
evt_20240201_trade_adams,acquire,pick_2025_2_hou_okc_more_favorable,future_draft_pick,second_round,,,,trade,HOU/OKC,2025,,More favorable of HOU/OKC 2025 second,,,,
evt_20240201_trade_adams,acquire,player_victor_oladipo,full_roster,player_contract,Victor Oladipo,,,trade,,,,,,,,
evt_20240201_trade_adams,relinquish,player_steven_adams,full_roster,player_contract,Steven Adams,,,,,,,,,,,
evt_20240207_trade_tillman,acquire,pick_2027_2_atl_in,future_draft_pick,second_round,,,,trade,ATL,2027,,,,,,
evt_20240207_trade_tillman,acquire,pick_2030_2_dal_in,future_draft_pick,second_round,,,,trade,DAL,2030,,,,,,
evt_20240207_trade_tillman,acquire,player_lamar_stevens,full_roster,player_contract,Lamar Stevens,,,trade,,,,,,,,
evt_20240207_trade_tillman,relinquish,player_xavier_tillman,full_roster,player_contract,Xavier Tillman Sr.,,,,,,,,,,,
