edge_id,asset_id,asset_key,asset_type,subtype,source_node_id,target_node_id,start_date,end_date,is_active_at_end,player_name,action_raw,direction_raw
asset_7814e92a03abefc29cb7a8fd_4,asset_7814e92a03abefc29cb7a8fd,player:shaq_buchanan_(sg),player,,evt_5a77f7ec093a2eaeb173e051,evt_59226dec18328b59726ce57b,2020-12-19,2021-09-23,false,Shaq Buchanan (SG),acquire,incoming
asset_7814e92a03abefc29cb7a8fd_5,asset_7814e92a03abefc29cb7a8fd,player:shaq_buchanan_(sg),player,,evt_59226dec18328b59726ce57b,evt_d4d633102e46b0d49c6380f1,2021-09-23,2021-10-08,false,Shaq Buchanan (SG),relinquish,outgoing
asset_7814e92a03abefc29cb7a8fd_6,asset_7814e92a03abefc29cb7a8fd,player:shaq_buchanan_(sg),player,,evt_d4d633102e46b0d49c6380f1,evt_9e17a77702bf8cc67d784f1d,2021-10-08,2021-12-25,false,Shaq Buchanan (SG),acquire,incoming
asset_7814e92a03abefc29cb7a8fd_end,asset_7814e92a03abefc29cb7a8fd,player:shaq_buchanan_(sg),player,,evt_9e17a77702bf8cc67d784f1d,state_end,2021-12-25,2026-03-08,true,Shaq Buchanan (SG),acquire,incoming
asset_325abe41d09dbba8e5681f44_0,asset_325abe41d09dbba8e5681f44,player:justise_winslow_(sf),player,,state_start,evt_1f899c00ef6d68bb47cdd13c,2016-07-01,2020-02-06,false,Justise Winslow (SF),transform,outgoing
asset_325abe41d09dbba8e5681f44_end,asset_325abe41d09dbba8e5681f44,player:justise_winslow_(sf),player,,evt_1f899c00ef6d68bb47cdd13c,state_end,2020-02-06,2026-03-08,true,Justise Winslow (SF),transform,outgoing
asset_6b013162c4517008b375168e_0,asset_6b013162c4517008b375168e,player:dion_waiters_(sg),player,,state_start,evt_463d8a2d64dc03f7d2157ac1,2016-07-01,2020-02-06,false,Dion Waiters (SG),transform,outgoing
asset_6b013162c4517008b375168e_1,asset_6b013162c4517008b375168e,player:dion_waiters_(sg),player,,evt_463d8a2d64dc03f7d2157ac1,evt_d99e883b3bcf5971dc4d860f,2020-02-06,2020-02-09,false,Dion Waiters (SG),relinquish,outgoing
asset_6b013162c4517008b375168e_end,asset_6b013162c4517008b375168e,player:dion_waiters_(sg),player,,evt_d99e883b3bcf5971dc4d860f,state_end,2020-02-09,2026-03-08,true,Dion Waiters (SG),relinquish,outgoing
asset_4e079e92d4b7ed7476a3b6ec_0,asset_4e079e92d4b7ed7476a3b6ec,player:gorgui_dieng_(c),player,,state_start,evt_6b28d153e4818233903fee8a,2016-07-01,2020-02-06,false,Gorgui Dieng (C),transform,outgoing
